,,Run3Summer22,,,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Muon_C,/Muon/Run2022C-22Sep2023-v1/NANOAOD,138427345,,,,,138427345,,,,,,,,,,
,Muon_D,/Muon/Run2022D-22Sep2023-v1/NANOAOD,75468381,,,,,75468381,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,EGamma_C,/EGamma/Run2022C-22Sep2023-v1/NANOAOD,263689151,,,,,263689151,,,,,,,,,,
,EGamma_D,/EGamma/Run2022D-22Sep2023-v1/NANOAOD,89134996,,,,,89134996,,,,,,,,,,
,,,Total,7980.4000,,,,,,,,,,,,,,
,,Golden JSON = Cert_Collisions2022_355100_362760_Golden.json,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),SumGenWt,AvgGenWt,Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WtoLNu-2Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-JMENano12p5_132X_mcRun3_2022_realistic_v3-v3/NANOAODSIM,6.812e+04 +- 4.137e+02,64481.5800,37338382,,0.000,579.055,6617068018008,177218.927644,arXiv:2406.05101 ,,,,,,,
,WGtoLNuG_10to100,/WGtoLNuG-1Jets_PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.692e+02 +- 3.759e+00,669.2000,51070411,,0.000,76315.617,64218821000,1257.456514,,,,,,,,
,WGtoLNuG_100to200,/WGtoLNuG-1Jets_PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.235e+00 +- 2.222e-02,2.2350,994485,,0.000,444959.732,11623696,11.688156,,,,,,,,
,WGtoLNuG_200to400,/WGtoLNuG-1Jets_PTG-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v1/NANOAODSIM,2.948e-01 +- 2.878e-03,0.2948,490978,,0.000,1665461.330,425532,0.866703,,,,,,,,
,WGtoLNuG_400to600,/WGtoLNuG-1Jets_PTG-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v1/NANOAODSIM,2.220e-02 +- 1.509e-04,0.0222,461654,,0.000,20795225.225,24857,0.053843,,,,,,,,
,WGtoLNuG_600toInf,/WGtoLNuG-1Jets_PTG-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,4.870e-03 +- 4.289e-05,0.0049,484786,,0.000,99545379.877,4765,0.009829,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single Z production,,,,,,,,,,,,,,,,,
,DYto2L_10to50,/DYto2L-2Jets_MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.105e+04 +- 8.806e+01,19982.5000,67325205,,0.000,3369.208,2362614038064,35092.563596,arXiv:2412.02477,,,,,,,
,DYto2L_50toInf,/DYto2L-2Jets_MLL-50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v5/NANOAODSIM,6.735e+03 +- 4.445e+01,6345.9900,93826598,,0.000,14785.179,1673985216332,17841.265185,arXiv:2412.02477,,,,,,,
,DYGToLLG_M4to50-PT10to100,/DYGto2LG-1Jets_MLL-4to50_PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.842e+01 +- 3.663e-01,88.4200,20668316,,0.000,233751.595,3659706947,177.068463,,,,,,,,
,DYGToLLG_M4to50-PT100to200,/DYGto2LG-1Jets_MLL-4to50_PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.549e-01 +- 1.774e-02,0.8549,391451,,0.000,457890.981,548585,1.401414,,,,,,,,
,DYGToLLG_M4to50-PT200toInf,/DYGto2LG-1Jets_MLL-4to50_PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.885e-02 +- 4.037e-04,0.0389,185067,,0.000,4763629.344,11703,0.063237,,,,,,,,
,DYGToLLG_M50-PT10to50,/DYGto2LG-1Jets_MLL-50_PTG-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.260e+02 +- 7.943e-01,126.0000,27843631,,0.000,220981.198,6744533264,242.228941,,,,,,,,
,DYGToLLG_M50-PT50to100,/DYGto2LG-1Jets_MLL-50_PTG-50to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,3.889e+01 +- 5.822e-02,38.8900,14570462,,,374658.318,1046987437,71.856846,,,,,,,,
,DYGToLLG_M50-PT100to200,/DYGto2LG-1Jets_MLL-50_PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.006e+00 +- 7.839e-03,1.0060,201017,,0.000,199818.091,401857,1.999119,,,,,,,,
,DYGToLLG_M50-PT200to400,/DYGto2LG-1Jets_MLL-50_PTG-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.666e-02 +- 3.607e-04,0.0767,509420,,0.000,6645186.538,75204,0.147627,,,,,,,,
,DYGToLLG_M50-PT400to600,/DYGto2LG-1Jets_MLL-50_PTG-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.563e-03 +- 2.856e-05,0.0046,490675,,0.000,107533420.995,4240,0.008641,,,,,,,,
,DYGToLLG_M50-PT600toInf,/DYGto2LG-1Jets_MLL-50_PTG-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.074e-04 +- 6.894e-06,0.0008,488259,,0.000,604729997.523,728,0.001491,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TTBar production,,,,,,,,,,,,Production,decay of dau1,decay of dau2,permutation,Final xsec,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO
,TT_TTto2L2Nu,/TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.621e+02 +- 1.345e-01,97.5400,23778148,,0.000,243778.429,1910011351,80.326329,arXiv:2412.02477,,923.6,0.3258,0.3258,1,98.036113 ,
,TT_TTtoLNu2Q,/TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.621e+02 +- 1.345e-01,403.2500,49771670,,0.000,123426.336,16641909486,334.365101,arXiv:2412.02477,,923.6,0.3258,0.6741,2,405.685352 ,
,,,,,,,,,,,,,,,,,,
,Single top production,,,,,,,,,,,,Production,decay of dau1,decay of dau2,permutation,Final xsec,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopNNLORef
,ST_TBbarQ,/TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.238e+02 +- 3.709e-01,145.0000,2973675,,0.000,20508.103,370611256,124.630720,arXiv:2303.1068,,,,,,0.000000 ,
,ST_TBbartoLplusNuBbar,/TBbartoLplusNuBbar-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.278e+00 +- 4.011e-04,2.3600,1271280,,0.000,538677.966,2891340,2.274353,,,7.244,0.3258,1.0000,1,2.360095 ,W to Lnu
,ST_TbarBQ,/TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.547e+01 +- 2.361e-01,87.2000,1433215,,0.000,16435.952,108676658,75.827184,arXiv:2303.1068,,,,,,0.000000 ,
,ST_TbarBtoLminusNuB,/TbarBtoLminusNuB-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.430e+00 +- 4.371e-04,1.4700,785520,,0.000,534367.347,1124183,1.431132,,,4.534,0.3258,1.0000,1,1.477177 ,W to Lnu
,,,,,,,,,,,,,,,,,,
,TW,,,,,,,,,,,,Production,decay of Ws,permutation,Final xsec,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopNNLORef,
,TW_TWminusto2L2Nu,/TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,4.6651,2369680,,0.000,507959.005,8975840,3.787786,,,43.95,0.10614564,1,4.665101 ,Both W to lnu,
,TW_TWminustoLNu2Q,/TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,19.3048,4643600,,0.000,240541.780,167157941,35.997489,,,43.95,0.21962178,2,19.304754 ,"One W to qq, other lnu",
,TW_TbarWplusto2L2Nu,/TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.605e+01 +- 1.296e-02,4.6651,2327688,,0.000,498957.699,8853471,3.803547,,,43.95,0.10614564,1,4.665101 ,Both W to lnu,
,TW_TbarWplustoLNu2Q,/TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.605e+01 +- 1.296e-02,19.3048,4366467,,0.000,226186.094,157260308,36.015458,,,43.95,0.21962178,2,19.304754 ,"One W to qq, other to lnu",
,,,,,,,,,,,,,,,,,,
,TT + V,,,,,,,,,,,,,,,,,
,TTV_TTWtoLNu,/TTLNu-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v1/NANOAODSIM,2.508e-01 +- 2.058e-03,0.2508,111308,,0.000,443811.802,50205,0.451046,,,,,,,,
,TTV_TTZtoLL4to50,/TTLL_MLL-4to50_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.949e-02 +- 2.728e-05,0.0395,300000,,0.000,7596859.965,11828,0.039427,,,,,,,,
,TTV_TTZtoLL50toInf,/TTLL_MLL-50_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.646e-02 +- 5.520e-05,0.0865,400000,,0.000,4626416.840,34640,0.086600,,,,,,,,
,,,,,,,,,,,,,,,,,,
,RareTop,,,,,,,,,,,,,,,,,
,RareTop_THQ,/THQ_ctcvcp_HIncl_M-125_4FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,7.419e-01 +- 5.018e-04,0.7419,3943999,,0.000,5316078.986,3943999,1.000000,,,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHWG136TeVxsec_extrap,,,,,
,RareTop_THW,/THW_ctcvcp_HIncl_M-125_5FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,1.332e-01 +- 8.549e-05,0.1332,1732999,,0.000,13010503.003,1732999,1.000000,,,Production,decay of dau1,decay of dau2,permutation,Final xsec,
,RareTop_TTTT,/TTTT_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,9.652e-03 +- 9.447e-06,0.0096,2396925,,0.000,249031168.831,23139,0.009654,,,,,,,,
,RareTop_TTWH,/TTWH_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.253e-03 +- 1.129e-06,0.0013,790196,,0.000,630643256.185,790196,1.000000,,,,,,,,
,RareTop_TTWW,/TTWW_TuneCP5_13p6TeV_madgraph-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,8.160e-03 +- 8.047e-06,0.0082,448443,,0.000,54956250.000,448443,1.000000,,,,,,,,
,RareTop_TTWZ,,2.712e-03 +- 1.523e-06,0.0027,0,,#DIV/0!,0.000,,#DIV/0!,,,,,,,,
,RareTop_TTZH,/TTZH_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.283e-03 +- 8.982e-07,0.0013,798996,,0.000,622756040.530,798996,1.000000,,,,,,,,
,RareTop_TTZZ,/TTZZ_TuneCP5_13p6TeV_madgraph-madspin-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.558e-03 +- 1.628e-06,0.0016,443238,,0.000,284491655.969,443238,1.000000,,,,,,,,
,RareTop_TZQB,/TZQB-Zto2L-4FS_MLL-30_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.968e-02 +- 7.800e-05,0.0797,889780,,0.000,11166917.671,72367,0.081331,,,,,,,,
,,,,,,,,,,,,,,,,,,
,VV,,,,,,,,,,,,,,,,,
,VVSS_WmWm,/WmWmJJ-EWK_TuneCP5_13p6TeV-powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.220e-04 +- 2.832e-05,0.0001,,,#DIV/0!,0.000,12,#DIV/0!,,,,,,,,
,VVSS_WpWp,/WpWpJJ_EWK-QCD_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,5.859e-02 +- 9.252e-05,0.0586,498628,,0.000,8510462.536,498628,1.000000,,,,,,,,
,VV_WWto2L2Nu,/WWto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.179e+01 +- 4.216e-03,12.9800,6135192,,,472665.023,72480009,11.813813,arXiv:2412.02477,,,,,,,
,VV_WWto4Q,/WWto4Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,5.079e+01 +- 1.816e-02,50.7900,28443500,,0.000,560021.658,1444335135,50.779093,,,,,,,,
,VV_WWtoLNu2Q,/WWtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.894e+01 +- 1.750e-02,48.9400,27258240,,0.000,556972.620,1322743050,48.526356,,,,,,,,
,VV_WZto2L2Q,/WZto2L2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.568e+00 +- 3.908e-03,3.7000,4167791,,0.000,1126430.000,31453749,7.546863,arXiv:2503.09742 ,,,,,,,
,VV_WZto3LNu,/WZto3LNu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.924e+00 +- 2.370e-03,1.8000,2776339,,0.000,1542410.556,13659272,4.919886,arXiv:2503.09742 ,,,,,,,
,VV_WZtoLNu2Q,/WZtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.587e+01 +- 7.874e-03,12.4000,8902752,,0.000,717963.871,141937022,15.943050,arXiv:2503.09742 ,,,,,,,
,VV_ZZto2L2Nu,/ZZto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.031e+00 +- 5.268e-04,0.7000,14555802,,0.000,20794002.857,15023124,1.032106,arXiv:2503.09742 ,,,,,,,
,VV_ZZto2L2Q,/ZZto2L2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.788e+00 +- 3.501e-03,2.4000,14664788,,0.000,6110328.333,99633016,6.794030,arXiv:2503.09742 ,,,,,,,
